model	variant	ctx	greenboost	suite	status	prompt_tps	response_tps	ppl	peak_vram_mib	delta_vram_mib	corpus	repeat_count	confidence_grade	run_dir
Qwen 9B	iso3_k	pp512/tg128	on	throughput_ported_on_final	ok	2822.313429	68.305354						B	runs/20260410T141300Z_qwen9b-k-only-all-families-ported-on
Qwen 9B	planar3_k	pp512/tg128	on	throughput_ported_on_final	ok	2841.935622	68.160429						B	runs/20260410T141300Z_qwen9b-k-only-all-families-ported-on
Qwen 9B	sq3_k	pp512/tg128	on	throughput_ported_on_final	ok	1383.448788	69.886542						B	runs/20260410T141300Z_qwen9b-k-only-all-families-ported-on
Qwen 9B	tq1_k	pp512/tg128	on	throughput_ported_on_final	ok	1345.709117	64.627552						B	runs/20260410T141300Z_qwen9b-k-only-all-families-ported-on
Qwen 9B	tq3_k	pp512/tg128	on	throughput_ported_on_final	ok	1351.017518	64.860961						B	runs/20260410T141300Z_qwen9b-k-only-all-families-ported-on
Qwen 27B	baseline	pp512/tg128	on	throughput_ported_on_final	ok	87.996441	2.281146						B	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on
Qwen 27B	iso3_k	pp512/tg128	on	throughput_ported_on_final	ok	80.815580	2.014966						B	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on
Qwen 27B	planar3_k	pp512/tg128	on	throughput_ported_on_final	ok	82.680482	2.015776						B	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on
Qwen 27B	sq3_k	pp512/tg128	on	throughput_ported_on_final	ok	75.789175	2.009335						B	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on
Qwen 27B	tq1_k	pp512/tg128	on	throughput_ported_on_final	ok	78.992533	2.045765						B	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on
Qwen 27B	tq3_k	pp512/tg128	on	throughput_ported_on_final	ok	81.162651	2.017148						B	runs/20260410T141500Z_qwen27b-k-only-all-families-ported-on
Qwen 122B	baseline	pp1/tg1	on	throughput_ported_on_final	ok	1.944523	2.626466						B	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on
Qwen 122B	iso3_k	pp1/tg1	on	throughput_ported_on_final	ok	2.729611	4.211265						B	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on
Qwen 122B	planar3_k	pp1/tg1	on	throughput_ported_on_final	ok	4.104948	4.255033						B	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on
Qwen 122B	sq3_k	pp1/tg1	on	throughput_ported_on_final	ok	4.133980	4.252178						B	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on
Qwen 122B	tq1_k	pp1/tg1	on	throughput_ported_on_final	ok	3.828910	4.166940						B	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on
Qwen 122B	tq3_k	pp1/tg1	on	throughput_ported_on_final	ok	4.104632	4.153034						B	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on
Gemma 4 31B	baseline	pp512/tg128	on	throughput_ported_on_final	ok	43.474325	1.107903						B	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on
Gemma 4 31B	iso3_k	pp512/tg128	on	throughput_ported_on_final	ok	43.627869	1.102588						B	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on
Gemma 4 31B	planar3_k	pp512/tg128	on	throughput_ported_on_final	ok	43.876578	1.101780						B	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on
Gemma 4 31B	sq3_k	pp512/tg128	on	throughput_ported_on_final	ok	40.874276	1.104058						B	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on
Gemma 4 31B	tq1_k	pp512/tg128	on	throughput_ported_on_final	ok	40.785997	1.109808						B	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on
Gemma 4 31B	tq3_k	pp512/tg128	on	throughput_ported_on_final	ok	40.963774	1.108027						B	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on
Nemotron 120B	baseline	pp1/tg1	on	throughput_ported_on_final	ok	3.126302	3.145767						B	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on
Nemotron 120B	iso3_k	pp1/tg1	on	throughput_ported_on_final	ok	3.035054	3.164730						B	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on
Nemotron 120B	planar3_k	pp1/tg1	on	throughput_ported_on_final	ok	3.068116	3.159981						B	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on
Nemotron 120B	sq3_k	pp1/tg1	on	throughput_ported_on_final	ok	3.182475	3.132739						B	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on
Nemotron 120B	tq1_k	pp1/tg1	on	throughput_ported_on_final	ok	3.156421	3.157133						B	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on
Nemotron 120B	tq3_k	pp1/tg1	on	throughput_ported_on_final	ok	3.142561	3.131303						B	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on
Mistral 119B	baseline	pp1/tg1	on	throughput_ported_on_final	ok	6.777589	7.159859						B	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on
Mistral 119B	iso3_k	pp1/tg1	on	throughput_ported_on_final	ok	6.822060	7.480265						B	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on
Mistral 119B	planar3_k	pp1/tg1	on	throughput_ported_on_final	ok	7.262309	7.407727						B	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on
Mistral 119B	sq3_k	pp1/tg1	on	throughput_ported_on_final	ok	9.538427	8.733970						B	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on
Mistral 119B	tq1_k	pp1/tg1	on	throughput_ported_on_final	ok	8.612792	9.660107						B	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on
Mistral 119B	tq3_k	pp1/tg1	on	throughput_ported_on_final	ok	9.389392	9.729405						B	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on
Qwen 9B	baseline	512	on	core_matrix_v1_ctx512	ok			4.0681	6566	5580	mixed_summary_report.txt	1	B	runs/20260410T154106Z_qwen9b-ppl-vram-ported-on
Qwen 9B	tq1_k	512	on	core_matrix_v1_ctx512	ok			4.0536	6592	5606	mixed_summary_report.txt	1	B	runs/20260410T154106Z_qwen9b-ppl-vram-ported-on
Qwen 9B	tq3_k	512	on	core_matrix_v1_ctx512	ok			4.0754	6590	5604	mixed_summary_report.txt	1	B	runs/20260410T154106Z_qwen9b-ppl-vram-ported-on
Qwen 9B	sq3_k	512	on	core_matrix_v1_ctx512	ok			4.0754	6590	5604	mixed_summary_report.txt	1	B	runs/20260410T154106Z_qwen9b-ppl-vram-ported-on
Qwen 9B	planar3_k	512	on	core_matrix_v1_ctx512	ok			4.0627	6570	5584	mixed_summary_report.txt	1	B	runs/20260410T154106Z_qwen9b-ppl-vram-ported-on
Qwen 9B	iso3_k	512	on	core_matrix_v1_ctx512	ok			4.0627	6590	5604	mixed_summary_report.txt	1	B	runs/20260410T154106Z_qwen9b-ppl-vram-ported-on
