model	variant	greenboost	quality_ctx	quality_suite	quality_status	ppl	peak_vram_mib	delta_vram_mib	corpus	repeat_count	quality_confidence_grade	matched_throughput_suite	throughput_ctx	prompt_tps	response_tps	throughput_confidence_grade	equivalence_tier	equivalence_basis	equivalence_note	throughput_run_dir	quality_run_dir
Qwen 122B	iso3_k	on	2048	core_matrix_v1_ctx2048	ok	3.4578	8155	7171	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp1/tg1	2.729611	4.211265	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on	runs/20260410T221028Z_qwen122b-iso3-longctx-2048
Gemma 4 31B	tq1_k	on	2048	core_matrix_v1_ctx2048	ok	97.3686	5551	4567	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp512/tg128	40.785997	1.109808	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on	runs/20260410T222111Z_gemma4-31b-tq1-longctx-2048
Gemma 4 31B	tq3_k	on	2048	core_matrix_v1_ctx2048	ok	96.6882	5551	4567	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp512/tg128	40.963774	1.108027	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on	runs/20260410T223258Z_gemma4-31b-tq3-longctx-2048
Gemma 4 31B	sq3_k	on	2048	core_matrix_v1_ctx2048	ok	97.0112	5551	4567	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp512/tg128	40.874276	1.104058	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on	runs/20260410T224446Z_gemma4-31b-sq3-longctx-2048
Gemma 4 31B	planar3_k	on	2048	core_matrix_v1_ctx2048	ok	96.0670	5530	4546	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp512/tg128	43.876578	1.101780	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on	runs/20260410T225636Z_gemma4-31b-planar3-longctx-2048
Gemma 4 31B	iso3_k	on	2048	core_matrix_v1_ctx2048	ok	96.0670	5532	4544	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp512/tg128	43.627869	1.102588	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on	runs/20260410T230757Z_gemma4-31b-iso3-longctx-2048
Nemotron 120B	tq1_k	on	2048	core_matrix_v1_ctx2048	ok	3.8195	6749	5755	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp1/tg1	3.156421	3.157133	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on	runs/20260410T231902Z_nemotron120b-tq1-longctx-2048
Nemotron 120B	tq3_k	on	2048	core_matrix_v1_ctx2048	ok	3.8561	6950	5956	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp1/tg1	3.142561	3.131303	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on	runs/20260410T233720Z_nemotron120b-tq3-longctx-2048
Nemotron 120B	sq3_k	on	2048	core_matrix_v1_ctx2048	ok	3.8561	6793	5769	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp1/tg1	3.182475	3.132739	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on	runs/20260410T235517Z_nemotron120b-sq3-longctx-2048
Nemotron 120B	planar3_k	on	2048	core_matrix_v1_ctx2048	ok	3.8238	6789	5746	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp1/tg1	3.068116	3.159981	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on	runs/20260411T001346Z_nemotron120b-planar3-longctx-2048
Nemotron 120B	iso3_k	on	2048	core_matrix_v1_ctx2048	ok	3.8238	6789	5756	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp1/tg1	3.035054	3.164730	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on	runs/20260411T003040Z_nemotron120b-iso3-longctx-2048
Mistral 119B	tq1_k	on	2048	core_matrix_v1_ctx2048	ok	93376.2709	7753	6720	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp1/tg1	8.612792	9.660107	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on	runs/20260411T004743Z_mistral119b-tq1-longctx-2048
Mistral 119B	tq3_k	on	2048	core_matrix_v1_ctx2048	ok	108913.4375	7615	6699	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp1/tg1	9.389392	9.729405	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on	runs/20260411T010111Z_mistral119b-tq3-longctx-2048
Mistral 119B	sq3_k	on	2048	core_matrix_v1_ctx2048	ok	105048.8896	7615	6699	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp1/tg1	9.538427	8.733970	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on	runs/20260411T011443Z_mistral119b-sq3-longctx-2048
Mistral 119B	planar3_k	on	2048	core_matrix_v1_ctx2048	failed		6087	5171	20260410_long_context_corpus_repeat8.txt	8	F	throughput_ported_on_final	pp1/tg1	7.262309	7.407727	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on	runs/20260411T012813Z_mistral119b-planar3-longctx-2048
Mistral 119B	iso3_k	on	2048	core_matrix_v1_ctx2048	failed		6087	5171	20260410_long_context_corpus_repeat8.txt	8	F	throughput_ported_on_final	pp1/tg1	6.822060	7.480265	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on	runs/20260411T013110Z_mistral119b-iso3-longctx-2048
Qwen 122B	baseline	on	2048	core_matrix_v1_ctx2048	failed	3.3143	8007	7137	20260410_long_context_corpus_repeat8.txt	8	F	throughput_ported_on_final	pp1/tg1	1.944523	2.626466	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on	runs/20260410T202629Z_qwen122b-baseline-longctx-2048
Gemma 4 31B	baseline	on	2048	core_matrix_v1_ctx2048	failed	94.9096	5385	4515	20260410_long_context_corpus_repeat8.txt	8	F	throughput_ported_on_final	pp512/tg128	43.474325	1.107903	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on	runs/20260410T203108Z_gemma4-31b-baseline-longctx-2048
Nemotron 120B	baseline	on	2048	core_matrix_v1_ctx2048	failed	3.2360	6607	5737	20260410_long_context_corpus_repeat8.txt	8	F	throughput_ported_on_final	pp1/tg1	3.126302	3.145767	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on	runs/20260410T204151Z_nemotron120b-baseline-longctx-2048
Mistral 119B	baseline	on	2048	core_matrix_v1_ctx2048	failed		7979	7109	20260410_long_context_corpus_repeat8.txt	8	F	throughput_ported_on_final	pp1/tg1	6.777589	7.159859	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on	runs/20260410T205118Z_mistral119b-baseline-longctx-2048
