model	variant	greenboost	quality_ctx	quality_suite	quality_status	ppl	peak_vram_mib	delta_vram_mib	corpus	repeat_count	quality_confidence_grade	matched_throughput_suite	throughput_ctx	prompt_tps	response_tps	throughput_confidence_grade	equivalence_tier	equivalence_basis	equivalence_note	throughput_run_dir	quality_run_dir
Qwen 122B	tq1_k	on	512	core_matrix_v1_ctx512	ok	3.7452	10582	9575	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	3.828910	4.166940	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on	runs/20260410T154840Z_qwen122b-ppl-vram-ported-on
Qwen 122B	tq3_k	on	512	core_matrix_v1_ctx512	ok	3.7466	10580	9594	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	4.104632	4.153034	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on	runs/20260410T154840Z_qwen122b-ppl-vram-ported-on
Qwen 122B	sq3_k	on	512	core_matrix_v1_ctx512	ok	3.7466	10580	9573	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	4.133980	4.252178	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on	runs/20260410T154840Z_qwen122b-ppl-vram-ported-on
Qwen 122B	planar3_k	on	512	core_matrix_v1_ctx512	missing				mixed_summary_report.txt	1	F	throughput_ported_on_final	pp1/tg1	4.104948	4.255033	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on	runs/20260410T154840Z_qwen122b-ppl-vram-ported-on
Qwen 122B	iso3_k	on	512	core_matrix_v1_ctx512	ok	3.7543	10568	9582	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	2.729611	4.211265	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143325Z_qwen122b-k-only-all-families-ported-on	runs/20260410T154840Z_qwen122b-ppl-vram-ported-on
Gemma 4 31B	baseline	on	512	core_matrix_v1_ctx512	ok	119.9030	7820	6834	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	43.474325	1.107903	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on	runs/20260410T170021Z_gemma4-31b-ppl-vram-ported-on-gapfill
Gemma 4 31B	tq1_k	on	512	core_matrix_v1_ctx512	ok	121.6342	7854	6868	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	40.785997	1.109808	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on	runs/20260410T170021Z_gemma4-31b-ppl-vram-ported-on-gapfill
Gemma 4 31B	tq3_k	on	512	core_matrix_v1_ctx512	ok	124.4262	7854	6868	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	40.963774	1.108027	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on	runs/20260410T170021Z_gemma4-31b-ppl-vram-ported-on-gapfill
Gemma 4 31B	sq3_k	on	512	core_matrix_v1_ctx512	ok	124.4262	7874	6888	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	40.874276	1.104058	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on	runs/20260410T170021Z_gemma4-31b-ppl-vram-ported-on-gapfill
Gemma 4 31B	planar3_k	on	512	core_matrix_v1_ctx512	ok	119.9030	7842	6856	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	43.876578	1.101780	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on	runs/20260410T170021Z_gemma4-31b-ppl-vram-ported-on-gapfill
Gemma 4 31B	iso3_k	on	512	core_matrix_v1_ctx512	ok	119.9030	7842	6856	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp512/tg128	43.627869	1.102588	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T143638Z_gemma4-31b-k-only-all-families-ported-on	runs/20260410T170021Z_gemma4-31b-ppl-vram-ported-on-gapfill
Nemotron 120B	baseline	on	512	core_matrix_v1_ctx512	ok	4.0351	9430	8444	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	3.126302	3.145767	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on	runs/20260410T171135Z_nemotron120b-ppl-vram-ported-on-gapfill
Nemotron 120B	tq1_k	on	512	core_matrix_v1_ctx512	ok	4.0457	9432	8446	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	3.156421	3.157133	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on	runs/20260410T171135Z_nemotron120b-ppl-vram-ported-on-gapfill
Nemotron 120B	tq3_k	on	512	core_matrix_v1_ctx512	ok	4.0479	9432	8446	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	3.142561	3.131303	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on	runs/20260410T171135Z_nemotron120b-ppl-vram-ported-on-gapfill
Nemotron 120B	sq3_k	on	512	core_matrix_v1_ctx512	ok	4.0479	9432	8446	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	3.182475	3.132739	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on	runs/20260410T171135Z_nemotron120b-ppl-vram-ported-on-gapfill
Nemotron 120B	planar3_k	on	512	core_matrix_v1_ctx512	ok	4.0351	9430	8442	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	3.068116	3.159981	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on	runs/20260410T171135Z_nemotron120b-ppl-vram-ported-on-gapfill
Nemotron 120B	iso3_k	on	512	core_matrix_v1_ctx512	ok	4.0351	9430	8442	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	3.035054	3.164730	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T151139Z_nemotron120b-k-only-all-families-ported-on	runs/20260410T171135Z_nemotron120b-ppl-vram-ported-on-gapfill
Mistral 119B	baseline	on	512	core_matrix_v1_ctx512	failed		7215	6299	mixed_summary_report.txt	1	F	throughput_ported_on_final	pp1/tg1	6.777589	7.159859	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on	runs/20260411T014602Z_mistral119b-baseline-ctx512
Mistral 119B	tq1_k	on	512	core_matrix_v1_ctx512	ok	32122.2728	7343	6427	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	8.612792	9.660107	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on	runs/20260411T015013Z_mistral119b-tq1_k-ctx512
Mistral 119B	tq3_k	on	512	core_matrix_v1_ctx512	ok	47109.3475	7343	6427	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	9.389392	9.729405	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on	runs/20260411T015417Z_mistral119b-tq3_k-ctx512
Mistral 119B	sq3_k	on	512	core_matrix_v1_ctx512	ok	47109.3475	7343	6427	mixed_summary_report.txt	1	B	throughput_ported_on_final	pp1/tg1	9.538427	8.733970	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on	runs/20260411T015825Z_mistral119b-sq3_k-ctx512
Mistral 119B	planar3_k	on	512	core_matrix_v1_ctx512	failed		6087	5171	mixed_summary_report.txt	1	F	throughput_ported_on_final	pp1/tg1	7.262309	7.407727	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on	runs/20260411T020234Z_mistral119b-planar3_k-ctx512
Mistral 119B	iso3_k	on	512	core_matrix_v1_ctx512	failed		6087	5171	mixed_summary_report.txt	1	F	throughput_ported_on_final	pp1/tg1	6.822060	7.480265	B	strong	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; quality row is short-context and closest to the throughput benchmark envelope	runs/20260410T152555Z_mistral119b-k-only-all-families-ported-on	runs/20260411T020530Z_mistral119b-iso3_k-ctx512
Qwen 9B	baseline	on	2048	core_matrix_v1_ctx2048	ok	4.2369	6235	5365	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp512/tg128	2930.099835	68.821980	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T141300Z_qwen9b-k-only-all-families-ported-on	runs/20260410T210817Z_qwen9b-baseline-longctx-2048
Qwen 9B	tq1_k	on	2048	core_matrix_v1_ctx2048	ok	4.2288	6241	5371	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp512/tg128	1345.709117	64.627552	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T141300Z_qwen9b-k-only-all-families-ported-on	runs/20260410T210844Z_qwen9b-tq1-longctx-2048
Qwen 9B	tq3_k	on	2048	core_matrix_v1_ctx2048	ok	4.2670	6233	5363	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp512/tg128	1351.017518	64.860961	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T141300Z_qwen9b-k-only-all-families-ported-on	runs/20260410T210911Z_qwen9b-tq3-longctx-2048
Qwen 9B	sq3_k	on	2048	core_matrix_v1_ctx2048	ok	4.2670	6233	5363	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp512/tg128	1383.448788	69.886542	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T141300Z_qwen9b-k-only-all-families-ported-on	runs/20260410T210938Z_qwen9b-sq3-longctx-2048
Qwen 9B	planar3_k	on	2048	core_matrix_v1_ctx2048	ok	4.2249	6249	5379	20260410_long_context_corpus_repeat8.txt	8	B	throughput_ported_on_final	pp512/tg128	2841.935622	68.160429	B	usable_with_ctx_caveat	same_model_variant_greenboost_april10_ported_on	same model, variant, GreenBoost state, and April 10 ported-on cohort; throughput comes from the final ported-on benchmark envelope while quality comes from the separate medium-context check	runs/20260410T141300Z_qwen9b-k-only-all-families-ported-on	runs/20260410T211005Z_qwen9b-planar3-longctx-2048
